time_start,time_end,launched,destroyed,id
2022-09-28 00:00:00,2022-09-28 00:00:00,5,4,1
2022-09-28 00:00:00,2022-09-28 00:00:00,3,3,2
2022-09-29 23:00:00,2022-09-29 23:59:00,7,5,3
2022-09-30 00:00:00,2022-09-30 00:00:00,3,3,4
2022-10-01 12:00:00,2022-10-01 12:00:00,1,1,5
2022-10-02 00:00:00,2022-10-02 02:00:00,7,5,6
2022-10-04 12:00:00,2022-10-05 12:00:00,1,1,7
2022-10-05 00:00:00,2022-10-05 02:00:00,6,6,8
2022-10-05 11:30:00,2022-10-05 11:30:00,1,1,9
2022-10-06 00:00:00,2022-10-06 02:00:00,9,9,10
2022-10-06 09:00:00,2022-10-06 11:30:00,1,1,11
2022-10-06 09:00:00,2022-10-06 11:30:00,2,2,12
2022-10-06 15:00:00,2022-10-06 20:00:00,3,3,13
2022-10-06 15:00:00,2022-10-06 20:00:00,1,1,14
2022-10-06 15:00:00,2022-10-06 20:00:00,1,1,15
2022-10-07 20:00:00,2022-10-07 21:30:00,3,3,16
2022-10-08 08:00:00,2022-10-08 08:00:00,1,1,17
2022-10-08 08:00:00,2022-10-08 08:00:00,2,2,18
2022-10-09 00:30:00,2022-10-09 08:00:00,4,0,19
2022-10-09 00:30:00,2022-10-09 08:00:00,2,1,20
2022-10-09 00:30:00,2022-10-09 08:00:00,16,0,21
2022-10-10 06:00:00,2022-10-10 14:00:00,84,43,22
2022-10-10 06:00:00,2022-10-10 14:00:00,11,3,23
2022-10-10 06:00:00,2022-10-10 14:00:00,13,10,24
2022-10-10 15:00:00,2022-10-11 18:30:00,13,13,25
2022-10-11 03:30:00,2022-10-11 05:30:00,8,8,26
2022-10-11 07:00:00,2022-10-11 13:00:00,13,13,27
2022-10-11 07:00:00,2022-10-11 13:00:00,28,20,28
2022-10-12 00:00:00,2022-10-12 00:00:00,17,17,29
2022-10-12 00:00:00,2022-10-12 00:00:00,2,2,30
2022-10-13 00:00:00,2022-10-13 08:00:00,6,6,31
2022-10-13 16:00:00,2022-10-13 17:00:00,5,5,32
2022-10-14 00:00:00,2022-10-14 08:00:00,8,8,33
2022-10-15 00:00:00,2022-10-15 00:30:00,6,6,34
2022-10-16 21:30:00,2022-10-16 21:30:00,11,11,35
2022-10-17 03:30:00,2022-10-17 06:50:00,15,15,36
2022-10-17 03:30:00,2022-10-17 06:50:00,3,3,37
2022-10-17 00:00:00,2022-10-17 10:00:00,11,11,38
2022-10-17 15:00:00,2022-10-17 15:00:00,2,2,39
2022-10-17 00:00:00,2022-10-17 21:00:00,8,8,40
2022-10-18 00:00:00,2022-10-18 08:00:00,6,6,41
2022-10-18 00:00:00,2022-10-18 08:00:00,1,1,42
2022-10-18 00:00:00,2022-10-18 08:00:00,4,4,43
2022-10-19 00:00:00,2022-10-19 08:00:00,13,13,44
2022-10-19 12:00:00,2022-10-19 15:30:00,6,4,45
2022-10-19 12:00:00,2022-10-19 15:30:00,10,10,46
2022-10-20 00:00:00,2022-10-20 02:00:00,14,14,47
2022-10-22 00:00:00,2022-10-22 02:00:00,10,10,48
2022-10-22 07:00:00,2022-10-22 11:00:00,16,5,49
2022-10-22 07:00:00,2022-10-22 11:00:00,17,13,50
2022-10-23 00:00:00,2022-10-23 02:00:00,16,16,51
2022-10-25 21:00:00,2022-10-25 21:00:00,2,2,52
2022-10-25 21:30:00,2022-10-25 21:30:00,1,1,53
2022-10-26 22:00:00,2022-10-26 23:59:00,20,19,54
2022-10-26 22:00:00,2022-10-26 23:59:00,1,1,55
2022-10-31 07:00:00,2022-10-31 09:00:00,50,44,56
2022-11-01 01:30:00,2022-11-02 03:00:00,3,3,57
2022-11-01 01:30:00,2022-11-02 03:00:00,3,3,58
2022-11-01 12:00:00,2022-11-01 12:00:00,1,1,59
2022-11-01 23:00:00,2022-11-02 01:00:00,13,12,60
2022-11-03 22:00:00,2022-11-04 01:00:00,9,9,61
2022-11-04 16:00:00,2022-11-04 16:00:00,2,2,62
2022-11-04 00:00:00,2022-11-04 00:00:00,3,3,63
2022-11-04 00:00:00,2022-11-04 00:00:00,11,11,64
2022-11-09 00:00:00,2022-11-09 00:00:00,5,5,65
2022-11-09 00:00:00,2022-11-09 00:00:00,1,1,66
2022-11-14 10:00:00,2022-11-14 11:00:00,2,2,67
2022-11-15 00:00:00,2022-11-15 00:00:00,96,75,68
2022-11-15 00:00:00,2022-11-15 00:00:00,2,2,69
2022-11-15 00:00:00,2022-11-15 00:00:00,10,10,70
2022-11-15 00:00:00,2022-11-15 00:00:00,1,1,71
2022-11-15 00:00:00,2022-11-15 00:00:00,1,1,72
2022-11-17 00:00:00,2022-11-17 00:00:00,18,4,73
2022-11-17 00:00:00,2022-11-17 00:00:00,2,2,74
2022-11-17 00:00:00,2022-11-17 00:00:00,5,5,75
2022-11-23 00:00:00,2022-11-23 00:00:00,5,5,76
2022-11-23 00:00:00,2022-11-23 00:00:00,70,51,77
2022-12-05 00:00:00,2022-12-05 00:00:00,38,38,78
2022-12-05 00:00:00,2022-12-05 00:00:00,22,22,79
2022-12-05 00:00:00,2022-12-05 00:00:00,3,0,80
2022-12-05 00:00:00,2022-12-05 00:00:00,6,0,81
2022-12-05 00:00:00,2022-12-05 00:00:00,1,0,82
2022-12-07 00:00:00,2022-12-07 00:00:00,2,2,83
2022-12-07 00:00:00,2022-12-07 00:00:00,1,1,84
2022-12-07 00:00:00,2022-12-07 00:00:00,11,11,85
2022-12-10 00:00:00,2022-12-10 08:00:00,15,10,86
2022-12-14 00:00:00,2022-12-14 09:15:00,13,13,87
2022-12-16 00:00:00,2022-12-16 00:00:00,72,60,88
2022-12-16 00:00:00,2022-12-16 00:00:00,2,0,89
2022-12-16 00:00:00,2022-12-16 00:00:00,2,0,90
2022-12-16 00:00:00,2022-12-16 00:00:00,27,0,91
2022-12-19 00:00:00,2022-12-19 08:00:00,35,30,92
2022-12-20 13:00:00,2022-12-20 14:00:00,1,1,93
2022-12-20 13:00:00,2022-12-20 14:00:00,1,1,94
2022-12-22 00:00:00,2022-12-22 00:00:00,1,1,95
2022-12-29 00:00:00,2022-12-29 00:00:00,1,1,96
2022-12-29 00:00:00,2022-12-29 00:00:00,3,3,97
2022-12-29 07:00:00,2022-12-29 10:00:00,62,58,98
2022-12-29 07:00:00,2022-12-29 10:00:00,2,0,99
2022-12-29 07:00:00,2022-12-29 10:00:00,6,0,100
2022-12-30 08:00:00,2022-12-30 08:00:00,16,16,101
2022-12-31 13:00:00,2022-12-31 16:00:00,1,1,102
2022-12-31 13:00:00,2022-12-31 16:00:00,20,12,103
2023-01-01 00:00:00,2023-01-01 08:00:00,45,45,104
2023-01-02 00:00:00,2023-01-02 08:00:00,39,39,105
2023-01-02 00:00:00,2023-01-02 00:00:00,1,1,106
2023-01-02 00:00:00,2023-01-02 00:00:00,1,1,107
2023-01-11 11:00:00,2023-01-11 14:00:00,1,1,108
2023-01-11 12:00:00,2023-01-11 12:00:00,1,1,110
2023-01-12 09:00:00,2023-01-12 09:00:00,1,1,111
2023-01-14 00:00:00,2023-01-14 00:00:00,16,14,112
2023-01-14 00:00:00,2023-01-14 00:00:00,7,4,113
2023-01-14 00:00:00,2023-01-14 00:00:00,10,7,114
2023-01-14 00:00:00,2023-01-14 00:00:00,4,0,115
2023-01-14 15:30:00,2023-01-14 15:30:00,1,0,116
2023-01-20 18:00:00,2023-01-20 18:00:00,1,1,117
2023-01-20 18:00:00,2023-01-20 18:00:00,1,1,118
2023-01-23 10:00:00,2023-01-23 16:00:00,2,2,119
2023-01-23 10:00:00,2023-01-23 16:00:00,1,1,120
2023-01-25 09:00:00,2023-01-25 12:00:00,1,1,121
2023-01-26 04:00:00,2023-01-26 04:00:00,24,24,122
2023-01-26 10:45:00,2023-01-26 10:45:00,40,40,123
2023-01-26 10:45:00,2023-01-26 10:45:00,4,0,124
2023-01-26 10:45:00,2023-01-26 10:45:00,9,7,125
2023-01-26 10:45:00,2023-01-26 10:45:00,2,0,126
2023-02-09 15:00:00,2023-02-09 15:00:00,1,1,127
2023-02-09 21:50:00,2023-02-10 12:00:00,43,38,128
2023-02-09 21:50:00,2023-02-10 12:00:00,28,23,129
2023-02-09 21:50:00,2023-02-10 12:00:00,35,0,130
2023-02-09 21:50:00,2023-02-10 12:00:00,7,5,131
2023-02-10 18:00:00,2023-02-10 23:55:00,20,20,132
2023-02-11 18:40:00,2023-02-11 21:30:00,1,1,133
2023-02-11 18:40:00,2023-02-11 21:30:00,4,4,134
2023-02-15 00:00:00,2023-02-15 00:00:00,1,1,135
2023-02-16 01:40:00,2023-02-16 03:45:00,12,10,136
2023-02-16 01:40:00,2023-02-16 03:45:00,8,4,137
2023-02-16 01:40:00,2023-02-16 03:45:00,12,0,138
2023-02-16 01:40:00,2023-02-16 03:45:00,1,1,139
2023-02-16 01:40:00,2023-02-16 03:45:00,1,1,140
2023-02-16 01:40:00,2023-02-16 03:45:00,1,0,141
2023-02-18 10:00:00,2023-02-18 10:00:00,4,2,142
2023-02-27 04:00:00,2023-02-27 04:00:00,14,11,143
2023-03-01 00:30:00,2023-03-01 00:30:00,4,4,144
