carrier,id,number_of_carriers
Su-35,1,1
Tu-22M3,19,6
Su-35,20,7
Tu-95MS,22,1
Tu-160,22,1
Navi,22,1
Tu-95MS,28,1
Navi,28,1
Navi,32,1
Navi,39,1
Navi,43,1
Tu-95,45,1
Tu-160,45,1
Navi,49,1
Tu-95,50,1
Tu-160,50,1
Tu-95,56,1
Tu-160,56,1
Tu-95MS,68,14
Navi,68,1
Tu-95MS,73,9
Tu-95MS,77,10
Navi,77,1
Tu-95MS,78,8
Navi,79,1
Tu-22M3,80,1
Su-35,81,1
Su-35,82,1
Tu-95MS,88,1
Admiral Makarov,88,1
Tu-22M3,88,1
Su-35,89,1
Su-35,90,1
Su-35,95,1
Tu-95MS,98,1
Navi,98,1
Su-35,99,1
Tu-22M3,100,1
Tu-95MS,103,1
Iskander-M,103,1
TU-95MS,112,8
Navi,113,1
Su-35,114,1
Tu-22M3,115,4
Tu-22M3,116,1
Tu-95MS,123,6
Su-35,124,1
Navi,125,1
MiG-31K,126,1
Tu-95MS,128,8
Navi,129,1
Tu-95MS,136,2
Navi,137,1
Tu-22M3,138,6
Su-35,139,1
Su-35,140,1
Navi,142,1
Tu-95MS,147,10
Navi,148,3
Tu-22M3,149,7
MiG-31K,150,6
Su-35,151,1
Su-35,152,1
Su-35,155,1
Su-35,157,1
Su-35,159,1
Su-35,160,1
Tu-95,182,1
Tu-160,185,2
Tu-95,185,9
MiG-31K,192,1
Tu-22M3,197,1
Navi,201,1
Tu-95MS,202,4
Tu-95MS,211,1
MiG-31K,219,6
Navi,220,1
Tu-160,229,2
Tu-95,229,8
Navi,230,1
Navi,232,1
Tu-95MS,245,1
Tu-22M3,246,1
Tu-95MS,254,1
Tu-95MS,258,9
Tu-95MS,269,1
Tu-95MS,270,6
Tu-95MS,272,6
Tu-95MS,276,4
Tu-95MS,283,8
Navi,285,1
Tu-22M3,287,4
Tu-95MS,288,4
Navi,303,1
Tu-22M3,308,1
MiG-31K,309,1
Tu-95MS,310,4
Tu-95MS,312,10
Tu-22M3,313,8
Navi,314,1
Submarines,316,1
Navi,322,1
Navi,329,1
Submarines,329,1
Navi,338,1
Admiral Essen,351,1
Su-35,353,1
Admiral Essen,354,1
Ingushetiya,354,1
Tu-22M3,355,1
K-300P Bastion-P,356,1
Submarines,358,1
K-300P Bastion-P,360,1
Tu-22M3,361,8
K-300P Bastion-P,364,1
Tu-22M3,365,1
Submarines,366,1
Submarines,370,1
Tu-95MS,371,1
MiG-31K,372,1
Submarines,373,1
Navi,380,1
Navi,383,1
Tu-95MS,384,1
MiG-31K,386,4
Navi,389,1
Navi,390,1
Tu-22M3,391,6
Tu-95MS,392,11
Su-34,401,1
Navi,402,1
Tu-95MS,406,5
Su-34,407,2
Navi,408,1
Tu-95MS,409,11
Navi,411,1
Tu-95MS,415,9
Tu-95MS,426,9
Tu-95MS,428,8
Tu-95MS,433,10
Navi,440,1
Submarines,440,1
K-300P Bastion-P,441,1
Su-34,461,1
Su-34,470,1
Su-34,474,1
Su-34,486,1
Su-34,487,1
Tu-22M3,541,1
Tu-95MS,580,7
MiG-31K,590,3
Tu-22M3,623,1
Tu-95MS,624,18
MiG-31K,625,5
Su-35,626,1
Su-35,627,1
Su-35,634,1
Tu-95MS,641,16
MiG-31K,642,5
Navi,643,1
Su-35,645,1
MiG-31K,662,4
Tu-95MS,663,11
Tu-22M3,664,1
Tu-22M3,665,1
Tu-95MS,670,11
MiG-31K,671,6
Tu-22M3,674,1
Su-35,675,1
Su-34,676,1
Su-34,695,1
Tu-95MS,697,6
Tu-22M3,698,1
Su-34,700,1
Su-34,705,1
