id,place,number,city,Oblast,Country,latitude,longitude
567,Mykolaiv oblast,2,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
574,Mykolaiv oblast,7,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
585,Mykolaiv oblast,1,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
588,Mykolaiv oblast,5,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
591,Mykolaiv oblast,8,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
592,Mykolaiv oblast,2,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
604,Mykolaiv oblast,10,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
607,Mykolaiv oblast,4,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
611,Mykolaiv oblast,1,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
613,Mykolaiv oblast,4,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
621,Mykolaiv oblast,3,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
628,Mykolaiv oblast,1,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
631,Mykolaiv oblast,1,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
632,Mykolaiv oblast,14,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
660,Mykolaiv oblast,1,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
684,Mykolaiv oblast,1,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
689,Mykolaiv oblast,8,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
691,Mykolaiv oblast,1,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
694,Mykolaiv oblast,2,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
567,Kherson oblast,1,,Kherson Oblast,Ukraine,46.5421715,33.4079326
574,Kherson oblast,3,,Kherson Oblast,Ukraine,46.5421715,33.4079326
588,Kherson oblast,2,,Kherson Oblast,Ukraine,46.5421715,33.4079326
591,Kherson oblast,2,,Kherson Oblast,Ukraine,46.5421715,33.4079326
592,Kherson oblast,9,,Kherson Oblast,Ukraine,46.5421715,33.4079326
595,Kherson oblast,7,,Kherson Oblast,Ukraine,46.5421715,33.4079326
600,Kherson oblast,6,,Kherson Oblast,Ukraine,46.5421715,33.4079326
604,Kherson oblast,4,,Kherson Oblast,Ukraine,46.5421715,33.4079326
611,Kherson oblast,3,,Kherson Oblast,Ukraine,46.5421715,33.4079326
613,Kherson oblast,1,,Kherson Oblast,Ukraine,46.5421715,33.4079326
628,Kherson oblast,2,,Kherson Oblast,Ukraine,46.5421715,33.4079326
689,Kherson oblast,1,,Kherson Oblast,Ukraine,46.5421715,33.4079326
694,Kherson oblast,2,,Kherson Oblast,Ukraine,46.5421715,33.4079326
567,Kharkiv oblast,6,,Kharkiv Oblast,Ukraine,49.8299582,36.3788957
574,Kharkiv oblast,5,,Kharkiv Oblast,Ukraine,49.8299582,36.3788957
621,Kharkiv oblast,1,,Kharkiv Oblast,Ukraine,49.8299582,36.3788957
631,Kharkiv oblast,3,,Kharkiv Oblast,Ukraine,49.8299582,36.3788957
574,Odesa oblast,9,,Odesa Oblast,Ukraine,46.1147226,29.9567193
585,Odesa oblast,2,,Odesa Oblast,Ukraine,46.1147226,29.9567193
586,Odesa oblast,9,,Odesa Oblast,Ukraine,46.1147226,29.9567193
588,Odesa oblast,32,,Odesa Oblast,Ukraine,46.1147226,29.9567193
595,Odesa oblast,9,,Odesa Oblast,Ukraine,46.1147226,29.9567193
600,Odesa oblast,4,,Odesa Oblast,Ukraine,46.1147226,29.9567193
604,Odesa oblast,3,,Odesa Oblast,Ukraine,46.1147226,29.9567193
605,Odesa oblast,7,,Odesa Oblast,Ukraine,46.1147226,29.9567193
611,Odesa oblast,17,,Odesa Oblast,Ukraine,46.1147226,29.9567193
613,Odesa oblast,4,,Odesa Oblast,Ukraine,46.1147226,29.9567193
621,Odesa oblast,10,,Odesa Oblast,Ukraine,46.1147226,29.9567193
631,Odesa oblast,6,,Odesa Oblast,Ukraine,46.1147226,29.9567193
632,Odesa oblast,28,,Odesa Oblast,Ukraine,46.1147226,29.9567193
660,Odesa oblast,7,,Odesa Oblast,Ukraine,46.1147226,29.9567193
684,Odesa oblast,10,,Odesa Oblast,Ukraine,46.1147226,29.9567193
691,Odesa oblast,1,,Odesa Oblast,Ukraine,46.1147226,29.9567193
574,Dnipropetrovsk oblast,4,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
585,Dnipropetrovsk oblast,1,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
600,Dnipropetrovsk oblast,1,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
607,Dnipropetrovsk oblast,4,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
611,Dnipropetrovsk oblast,5,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
617,Dnipropetrovsk oblast,13,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
631,Dnipropetrovsk oblast,1,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
632,Dnipropetrovsk oblast,9,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
684,Dnipropetrovsk oblast,3,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
689,Dnipropetrovsk oblast,4,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
