model,id
X-59,1
Reconnaissance UAV,2
Shahed-136/131,3
Orlan-10,4
Orlan-10,5
Shahed-136/131,6
Shahed-136/131,7
Shahed-136/131,8
Orlan-10,9
Shahed-136/131,10
Mohajer-6,11
Shahed-136/131,12
Shahed-136/131,13
Orlan-10,14
Mohajer-6,15
Shahed-136/131,16
Shahed-136/131,17
Unknown UAV,18
X-22,19
X-59,20
C-300,21
X-101/X-555,22
Kalibr,22
Unknown UAV,23
Shahed-136/131,24
Shahed-136/131,25
Shahed-136/131,26
Shahed-136/131,27
X-101/X-555,28
Kalibr,28
Shahed-136/131,29
Lancet,30
Shahed-136/131,31
Kalibr,32
Shahed-136/131,33
Shahed-136/131,34
Shahed-136/131,35
Shahed-136/131,36
Unknown Missile,37
Shahed-136/131,38
Kalibr,39
Shahed-136/131,40
Shahed-136/131,41
X-101/X-555,42
Kalibr,43
Shahed-136/131,44
X-101/X-555,45
Shahed-136/131,46
Shahed-136/131,47
Shahed-136/131,48
Kalibr,49
X-101/X-555,50
Shahed-136/131,51
Shahed-136/131,52
Shahed-136/131,53
Shahed-136/131,54
X-59,55
X-101/X-555,56
Shahed-136/131,57
Shahed-136/131,58
Reconnaissance UAV,59
Shahed-136/131,60
Shahed-136/131,61
Kalibr,62
Reconnaissance UAV,63
Shahed-136/131,64
Shahed-136/131,65
Orlan-10,66
Unknown UAV,67
X-101/X-555,68
Kalibr,68
X-59,69
Shahed-136/131,70
Orlan-10,71
Orion,72
X-101/X-555,73
X-59,74
Shahed-136/131,75
Lancet,76
X-101/X-555,77
Kalibr,77
X-101/X-555,78
Kalibr,79
X-22,80
X-59,81
X-31P,82
Unknown UAV,83
Orlan-10,84
Shahed-136/131,85
Shahed-136/131,86
Shahed-136/131,87
X-101/X-555,88
X-22,88
Kalibr,88
X-59,89
X-31P,90
C-300,91
Shahed-136/131,92
Orion,93
Unknown UAV,94
X-59MK2,95
Orlan-10,96
Orlan-10,97
X-101/X-555,98
Kalibr,98
X-31P,99
X-22,100
X-32,100
Shahed-136/131,101
Orlan-10,102
Unknown Missile,103
Shahed-136/131,104
Shahed-136/131,105
X-59,106
Orlan-10,107
Orlan-10,108
Unknown UAV,110
Orlan-10,111
X-101/X-555,112
Kalibr,113
X-59,114
X-22,115
X-22,116
Merlin-VR,117
Orlan-10,118
X-59,119
Orlan-10,120
Orlan-10,121
Shahed-136/131,122
X-101/X-555,123
X-59,124
Kalibr,125
X-47 Kinzhal,126
Orion,127
X-101/X-555,128
Kalibr,129
C-300,130
Shahed-136/131,131
Shahed-136/131,132
Orlan-10,133
Shahed-136/131,134
Unknown UAV,135
X-101/X-555,136
Kalibr,137
X-22,138
X-59,139
X-31,140
P-800 Oniks,141
Kalibr,142
Shahed-136/131,143
Shahed-136/131,144
Shahed-136/131,145
Shahed-136/131,146
X-101/X-555,147
Kalibr,148
X-22,149
X-47 Kinzhal,150
X-31P,151
X-59,152
C-300,153
Shahed-136/131,154
X-31P,155
Shahed-136/131,156
X-59,157
Shahed-136/131,158
X-59,159
KAB,160
Granat-4,161
Shahed-136/131,162
Shahed-136/131,163
Shahed-136/131,164
Supercam,165
Orlan-10,166
Merlin-VR,167
Shahed-136/131,168
Orlan-10,169
Shahed-136/131,170
Shahed-136/131,171
Shahed-136/131,172
Shahed-136/131,173
Lancet,174
Merlin-VR,175
Shahed-136/131,176
Lancet,177
Unknown UAV,178
Lancet,179
Merlin-VR,180
Unknown UAV,181
X-101/X-555,182
Shahed-136/131,183
Unknown UAV,184
X-101/X-555,185
Shahed-136/131,186
Lancet,187
Merlin-VR,188
Unknown UAV,189
Shahed-136/131,190
Unknown UAV,191
X-47 Kinzhal,192
Shahed-136/131,193
Shahed-136/131,194
Lancet,195
Unknown UAV,196
Unknown Missile,197
Shahed-136/131,198
Lancet,199
ZALA,200
Kalibr,201
X-101/X-555,202
Shahed-136/131,203
Lancet,204
Shahed-136/131,205
Orlan-10,206
Shahed-136/131,207
Lancet,208
Orlan-10,209
Unknown UAV,210
X-101/X-555,211
Orlan-10,212
ZALA,213
Orlan-10,214
Shahed-136/131,215
Orlan-10,216
Lancet,217
Supercam,218
X-47 Kinzhal,219
Kalibr,220
C-400,221
Iskander-M,221
Shahed-136/131,222
Orlan-10,223
Supercam,224
Orlan-10,225
Unknown UAV,226
Unknown UAV,227
Shahed-136/131,228
X-101/X-555,229
Kalibr,230
Iskander-K,231
Kalibr,232
Shahed-136/131,233
Shahed-136/131,234
Merlin-VR,235
Shahed-136/131,236
Shahed-136/131,237
Merlin-VR,238
Orlan-10,239
Shahed-136/131,240
Merlin-VR,241
Orlan-10,242
ZALA,243
Shahed-136/131,244
X-101/X-555,245
X-22,246
Iskander-M,247
C-300,248
Merlin-VR,249
Shahed-136/131,250
Shahed-136/131,251
Shahed-136/131,252
C-300,253
C-400,253
X-101/X-555,254
Orlan-10,255
Merlin-VR,256
Shahed-136/131,257
X-101/X-555,258
Shahed-136/131,259
Unknown UAV,260
Iskander-M,261
Iskander-K,261
Shahed-136/131,262
Merlin-VR,263
Lancet,264
Orlan-10,265
Iskander-M,266
Iskander-K,267
Shahed-136/131,268
X-101/X-555,269
X-101/X-555,270
Shahed-136/131,271
X-101/X-555,272
Orlan-10,273
Lancet,274
Kalibr,275
X-101/X-555,276
Shahed-136/131,277
Lancet,277
Orlan-10,278
Supercam,278
Orlan-10,279
ZALA,279
Supercam,279
Unknown Missile,280
Shahed-136/131,281
Shahed-136/131,282
X-101/X-555,283
Shahed-136/131,284
Kalibr,285
Shahed-136/131,286
X-22,287
X-101/X-555,288
Shahed-136/131,289
Orlan-10,290
Orlan-30,291
Lancet,292
ZALA,293
Reconnaissance UAV,294
Shahed-136/131,295
Kalibr,296
X-47 Kinzhal,297
Reconnaissance UAV,298
Shahed-136/131,299
Lancet,300
Orlan-10,301
Orlan-30,301
ZALA,301
Supercam,301
Shahed-136/131,302
Kalibr,303
Shahed-136/131,304
Reconnaissance UAV,305
Shahed-136/131,306
Shahed-136/131,307
X-22,308
X-47 Kinzhal,309
X-101/X-555,310
Reconnaissance UAV,311
X-101/X-555,312
X-22,313
Kalibr,314
Shahed-136/131,315
Kalibr,316
Shahed-136/131,317
Unknown UAV,318
Shahed-136/131,319
Shahed-136/131,320
C-300,321
Kalibr,322
Shahed-136/131,323
Shahed-136/131,324
Lancet,325
Merlin-VR,326
ZALA,327
Orlan-10,328
Kalibr,329
Shahed-136/131,330
Shahed-136/131,331
Lancet,332
Reconnaissance UAV,333
ZALA,334
Shahed-136/131,335
Shahed-136/131,336
Shahed-136/131,337
Kalibr,338
Iskander-M,339
Reconnaissance UAV,340
Shahed-136/131,341
Reconnaissance UAV,342
Orlan-10,343
ZALA,343
Lancet,344
Shahed-136/131,345
Shahed-136/131,346
Lancet,347
Reconnaissance UAV,348
Shahed-136/131,349
Reconnaissance UAV,350
Kalibr,351
Shahed-136/131,352
X-59,353
Kalibr,354
X-22,355
P-800 Oniks,356
Shahed-136/131,357
Kalibr,358
Iskander-K,359
P-800 Oniks,360
X-22,361
Reconnaissance UAV,362
Shahed-136/131,363
P-800 Oniks,364
X-22,365
Kalibr,366
Iskander-K,367
Iskander-M,368
Shahed-136/131,369
Kalibr,370
X-101/X-555,371
X-47 Kinzhal,372
Kalibr,373
Shahed-136/131,374
Reconnaissance UAV,375
Shahed-136/131,376
Shahed-136/131,377
Reconnaissance UAV,378
Shahed-136/131,379
Kalibr,380
X-47 Kinzhal,381
Shahed-136/131,382
Kalibr,383
X-101/X-555,384
Shahed-136/131,385
X-47 Kinzhal,386
Shahed-136/131,387
Shahed-136/131,388
Kalibr,389
Kalibr,390
X-22,391
X-101/X-555,392
C-300,393
C-400,393
Shahed-136/131,394
Shahed-136/131,395
Lancet,396
Reconnaissance UAV,397
Shahed-136/131,398
Shahed-136/131,399
Iskander-K,400
X-59,401
Kalibr,402
Shahed-136/131,403
Shahed-136/131,404
Shahed-136/131,405
X-101/X-555,406
X-59,407
Kalibr,408
X-101/X-555,409
Shahed-136/131,410
Kalibr,411
Shahed-136/131,412
Shahed-136/131,413
Shahed-136/131,414
X-101/X-555,415
Iskander-M,416
Shahed-136/131,417
Shahed-136/131,418
Shahed-136/131,419
Shahed-136/131,420
Unknown UAV,421
Shahed-136/131,422
Shahed-136/131,423
Shahed-136/131,424
Shahed-136/131,425
X-101/X-555,426
Shahed-136/131,427
X-101/X-555,428
Shahed-136/131,429
Reconnaissance UAV,430
Iskander-M,431
Shahed-136/131,432
X-101/X-555,433
C-300,434
Shahed-136/131,435
Orlan-10,436
Lancet,437
Reconnaissance UAV,438
Shahed-136/131,439
Kalibr,440
P-800 Oniks,441
Shahed-136/131,442
Orlan-10,443
ZALA,443
Supercam,443
Shahed-136/131,444
Shahed-136/131,445
Shahed-136/131,446
Merlin-VR,447
Shahed-136/131,448
Shahed-136/131,449
Iskander-K,450
Shahed-136/131,451
Shahed-136/131,452
Shahed-136/131,453
Supercam,454
Shahed-136/131,455
Unknown UAV,456
Shahed-136/131,457
X-59,458
Iskander-M,459
Shahed-136/131,460
X-59,461
C-300,462
Lancet,463
Shahed-136/131,464
X-59,465
C-300,466
Iskander-M,467
Unknown Missile,468
Lancet,469
X-59,470
C-300,471
Shahed-136/131,472
Unknown UAV,473
X-59,474
Shahed-136/131,475
Unknown UAV,476
Shahed-136/131,477
X-59,478
Shahed-136/131,479
Shahed-136/131,480
Iskander-M,481
X-59,482
Lancet,483
Iskander-K,484
Shahed-136/131,485
X-59,486
X-59,487
Shahed-136/131,488
Lancet,489
Merlin-VR,490
Lancet,491
Shahed-136/131,492
Lancet,493
Supercam,494
Shahed-136/131,495
X-59,496
X-59,497
Orlan-10,498
X-59,499
Lancet,500
Shahed-136/131,501
X-59,502
Lancet,503
Shahed-136/131,504
Iskander-K,505
X-59,506
Shahed-136/131,507
X-59,508
X-31,509
P-800 Oniks,510
Iskander-M,511
Orlan-10,512
Shahed-136/131,513
X-59,514
Shahed-136/131,515
X-31,516
X-59,517
Merlin-VR,518
Shahed-136/131,519
X-31,520
P-800 Oniks,521
C-300,522
Iskander-M,523
X-59,524
Iskander-M,525
Orlan-10,526
Merlin-VR,527
Shahed-136/131,528
Iskander-M,529
X-35,530
X-59,531
Shahed-136/131,532
Shahed-136/131,533
Shahed-136/131,534
Shahed-136/131,535
Shahed-136/131,536
C-400,537
Iskander-K,538
Mohajer-6,539
Shahed-136/131,540
X-22,541
Shahed-136/131,542
Shahed-136/131,543
Orlan-10,544
X-59,545
Shahed-136/131,546
Shahed-136/131,547
Shahed-136/131,548
Orlan-10,549
Iskander-M,550
Unknown UAV,551
ZALA,552
Shahed-136/131,553
X-59,554
Shahed-136/131,555
C-300,556
Shahed-136/131,557
Lancet,558
X-59,559
Shahed-136/131,560
X-59,561
Shahed-136/131,562
X-59,563
Supercam,564
Shahed-136/131,565
X-59,566
Shahed-136/131,567
C-300,568
Reconnaissance UAV,569
Merlin-VR,570
ZALA,571
Lancet,572
Merlin-VR,573
Shahed-136/131,574
Supercam,575
X-59,576
Shahed-136/131,577
Shahed-136/131,578
C-300,579
X-101/X-555,580
Shahed-136/131,581
KAB,582
X-59,583
X-59,584
Shahed-136/131,585
Shahed-136/131,586
C-400,587
Iskander-M,587
Shahed-136/131,588
X-59,589
X-47 Kinzhal,590
Shahed-136/131,591
Shahed-136/131,592
X-59,593
Iskander-K,594
Shahed-136/131,595
Shahed-136/131,596
Shahed-136/131,597
X-59,598
Shahed-136/131,599
Shahed-136/131,600
C-300,601
X-59,602
Shahed-136/131,603
Shahed-136/131,604
Shahed-136/131,605
X-59,606
Shahed-136/131,607
X-59,608
X-31P,609
ZALA,610
Shahed-136/131,611
X-59,612
Shahed-136/131,613
X-59,614
Supercam,615
Merlin-VR,616
Shahed-136/131,617
Shahed-136/131,618
Supercam,619
Merlin-VR,620
Shahed-136/131,621
C-300,622
C-400,622
Iskander-M,622
X-22,623
X-32,623
X-101/X-555,624
X-47 Kinzhal,625
X-31P,626
X-59,627
Shahed-136/131,628
X-59,629
C-300,630
Shahed-136/131,631
Shahed-136/131,632
C-300,633
X-31P,634
X-59,635
Shahed-136/131,636
X-59,637
Merlin-VR,638
Lancet,639
Shahed-136/131,640
X-101/X-555,641
X-47 Kinzhal,642
Kalibr,643
C-300,644
C-400,644
Iskander-M,644
X-31P,645
Lancet,646
ZALA,647
KAB,648
X-59,649
Shahed-136/131,650
Lancet,651
Merlin-VR,652
Orlan-10,653
Shahed-136/131,654
Shahed-136/131,655
Supercam,656
X-59,657
C-300,658
Shahed-136/131,659
Shahed-136/131,660
C-300,661
X-47 Kinzhal,662
X-101/X-555,663
X-22,664
Iskander-M,665
X-31P,666
Supercam,667
Merlin-VR,668
X-59,669
X-101/X-555,670
X-47 Kinzhal,671
Shahed-136/131,672
C-300,673
X-22,674
X-31P,675
X-59,676
Merlin-VR,677
X-59,678
ZALA,679
