target,id,city,Oblast,Country,latitude,longitude
Dnipropetrovsk oblast,1,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,53,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,58,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,117,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,253,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,288,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,308,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,309,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,313,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,331,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,376,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,393,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,403,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,413,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,420,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,421,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,423,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,428,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,432,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,435,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,449,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,450,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,456,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,505,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,542,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,545,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,557,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,561,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,575,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
Dnipropetrovsk oblast,578,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
